win,lose
대구,울산
울산,강원
울산,광주
인천,대구
포항,강원
수원,성남
서울,수원FC
전북,강원
울산,인천
제주,포항
광주,대구
성남,서울
전북,광주
서울,인천
성남,수원FC
전북,대구
수원,포항
서울,광주
인천,수원FC
강원,인천
성남,포항
서울,수원
대구,울산
울산,강원
울산,광주
인천,대구
포항,강원
수원,성남
서울,수원FC
전북,강원
울산,인천
제주,포항
광주,대구
성남,서울
전북,광주
서울,인천
성남,수원FC
전북,대구
수원,포항
서울,광주
인천,수원FC
강원,인천
성남,포항
서울,수원
대구,울산
울산,강원
울산,광주
인천,대구
포항,강원
수원,성남
서울,수원FC
전북,강원
울산,인천
제주,포항
광주,대구
성남,서울
전북,광주
서울,인천
성남,수원FC
전북,대구
수원,포항
서울,광주
인천,수원FC
강원,인천
성남,포항
서울,수원
대구,울산
울산,강원
울산,광주
인천,대구
포항,강원
수원,성남
서울,수원FC
전북,강원
울산,인천
제주,포항
광주,대구
성남,서울
전북,광주
서울,인천
성남,수원FC
전북,대구
수원,포항
서울,광주
인천,수원FC
강원,인천
성남,포항
서울,수원
대구,울산
울산,강원
울산,광주
인천,대구
포항,강원
수원,성남
서울,수원FC
전북,강원
울산,인천
제주,포항
광주,대구
성남,서울
전북,광주
서울,인천
성남,수원FC
전북,대구
수원,포항
서울,광주
인천,수원FC
강원,인천
성남,포항
서울,수원
대구,울산
